## Bin(cM)	Covariance
   0.3740	  0.00323
   0.3750	  0.00286
   0.3760	  0.00288
   0.3770	  0.00363
   0.3780	  0.00435
   0.3790	  0.00397
   0.3800	  0.00296
   0.3810	  0.00346
   0.3820	  0.00347
   0.3830	  0.00359
   0.3840	  0.00397
   0.3850	  0.00365
   0.3860	  0.00266
   0.3870	  0.00306
   0.3880	  0.00325
   0.3890	  0.00360
   0.3900	  0.00352
   0.3910	  0.00350
   0.3920	  0.00208
   0.3930	  0.00303
   0.3940	  0.00355
   0.3950	  0.00234
   0.3960	  0.00430
   0.3970	  0.00290
   0.3980	  0.00247
   0.3990	  0.00331
   0.4000	  0.00336
   0.4010	  0.00314
   0.4020	  0.00285
   0.4030	  0.00210
   0.4040	  0.00305
   0.4050	  0.00403
   0.4060	  0.00289
   0.4070	  0.00313
   0.4080	  0.00201
   0.4090	  0.00263
   0.4100	  0.00330
   0.4110	  0.00220
   0.4120	  0.00152
   0.4130	  0.00199
   0.4140	  0.00322
   0.4150	  0.00254
   0.4160	  0.00216
   0.4170	  0.00291
   0.4180	  0.00273
   0.4190	  0.00243
   0.4200	  0.00283
   0.4210	  0.00262
   0.4220	  0.00279
   0.4230	  0.00254
   0.4240	  0.00239
   0.4250	  0.00358
   0.4260	  0.00327
   0.4270	  0.00261
   0.4280	  0.00365
   0.4290	  0.00365
   0.4300	  0.00308
   0.4310	  0.00228
   0.4320	  0.00336
   0.4330	  0.00295
   0.4340	  0.00263
   0.4350	  0.00298
   0.4360	  0.00403
   0.4370	  0.00268
   0.4380	  0.00371
   0.4390	  0.00321
   0.4400	  0.00314
   0.4410	  0.00252
   0.4420	  0.00428
   0.4430	  0.00317
   0.4440	  0.00271
   0.4450	  0.00203
   0.4460	  0.00271
   0.4470	  0.00282
   0.4480	  0.00200
   0.4490	  0.00226
   0.4500	  0.00279
   0.4510	  0.00290
   0.4520	  0.00207
   0.4530	  0.00263
   0.4540	  0.00181
   0.4550	  0.00203
   0.4560	  0.00220
   0.4570	  0.00227
   0.4580	  0.00209
   0.4590	  0.00233
   0.4600	  0.00278
   0.4610	  0.00258
   0.4620	  0.00201
   0.4630	  0.00249
   0.4640	  0.00290
   0.4650	  0.00213
   0.4660	  0.00186
   0.4670	  0.00307
   0.4680	  0.00295
   0.4690	  0.00301
   0.4700	  0.00156
   0.4710	  0.00235
   0.4720	  0.00333
   0.4730	  0.00249
   0.4740	  0.00294
   0.4750	  0.00217
   0.4760	  0.00185
   0.4770	  0.00242
   0.4780	  0.00248
   0.4790	  0.00307
   0.4800	  0.00228
   0.4810	  0.00249
   0.4820	  0.00294
   0.4830	  0.00285
   0.4840	  0.00321
   0.4850	  0.00254
   0.4860	  0.00243
   0.4870	  0.00185
   0.4880	  0.00204
   0.4890	  0.00207
   0.4900	  0.00238
   0.4910	  0.00170
   0.4920	  0.00196
   0.4930	  0.00174
   0.4940	  0.00245
   0.4950	  0.00256
   0.4960	  0.00272
   0.4970	  0.00139
   0.4980	  0.00247
   0.4990	  0.00216
   0.5000	  0.00200
   0.5010	  0.00235
   0.5020	  0.00191
   0.5030	  0.00249
   0.5040	  0.00166
   0.5050	  0.00190
   0.5060	  0.00271
   0.5070	  0.00221
   0.5080	  0.00144
   0.5090	  0.00090
   0.5100	  0.00284
   0.5110	  0.00219
   0.5120	  0.00179
   0.5130	  0.00182
   0.5140	  0.00190
   0.5150	  0.00159
   0.5160	  0.00163
   0.5170	  0.00157
   0.5180	  0.00181
   0.5190	  0.00111
   0.5200	  0.00193
   0.5210	  0.00087
   0.5220	  0.00201
   0.5230	  0.00185
   0.5240	  0.00205
   0.5250	  0.00192
   0.5260	  0.00130
   0.5270	  0.00102
   0.5280	  0.00114
   0.5290	  0.00171
   0.5300	  0.00189
   0.5310	  0.00194
   0.5320	  0.00195
   0.5330	  0.00188
   0.5340	  0.00178
   0.5350	  0.00212
   0.5360	  0.00251
   0.5370	  0.00258
   0.5380	  0.00183
   0.5390	  0.00111
   0.5400	  0.00204
   0.5410	  0.00196
   0.5420	  0.00254
   0.5430	  0.00130
   0.5440	  0.00215
   0.5450	  0.00143
   0.5460	  0.00187
   0.5470	  0.00115
   0.5480	  0.00180
   0.5490	  0.00189
   0.5500	  0.00156
   0.5510	  0.00163
   0.5520	  0.00169
   0.5530	  0.00145
   0.5540	  0.00261
   0.5550	  0.00200
   0.5560	  0.00213
   0.5570	  0.00142
   0.5580	  0.00214
   0.5590	  0.00183
   0.5600	  0.00210
   0.5610	  0.00254
   0.5620	  0.00234
   0.5630	  0.00214
   0.5640	  0.00104
   0.5650	  0.00200
   0.5660	  0.00220
   0.5670	  0.00182
   0.5680	  0.00172
   0.5690	  0.00224
   0.5700	  0.00182
   0.5710	  0.00192
   0.5720	  0.00217
   0.5730	  0.00067
   0.5740	  0.00153
   0.5750	  0.00221
   0.5760	  0.00185
   0.5770	  0.00160
   0.5780	  0.00175
   0.5790	  0.00104
   0.5800	  0.00147
   0.5810	  0.00184
   0.5820	  0.00160
   0.5830	  0.00136
   0.5840	  0.00217
   0.5850	  0.00121
   0.5860	  0.00216
   0.5870	  0.00258
   0.5880	  0.00124
   0.5890	  0.00177
   0.5900	  0.00152
   0.5910	  0.00187
   0.5920	  0.00142
   0.5930	  0.00100
   0.5940	  0.00172
   0.5950	  0.00125
   0.5960	  0.00155
   0.5970	  0.00103
   0.5980	  0.00100
   0.5990	  0.00136
   0.6000	  0.00183
   0.6010	  0.00163
   0.6020	  0.00147
   0.6030	  0.00190
   0.6040	  0.00159
   0.6050	  0.00064
   0.6060	  0.00087
   0.6070	  0.00136
   0.6080	  0.00120
